label,count,precision_Int_ResGAT,precision_ESM-3,recall_Int_ResGAT,recall_ESM-3,bin
1383,1,0.0,0.0,0.0,0.0,0-5
1384,126,1.0,0.9618320610687023,1.0,1.0,100-500
1385,22,0.875,0.9411764705882353,0.9545454545454546,0.7272727272727273,10-50
1386,4,1.0,0.0,1.0,0.0,0-5
1387,49,1.0,0.9607843137254902,1.0,1.0,10-50
1388,6,0.75,0.6,1.0,1.0,5-10
1389,19,0.9375,1.0,0.7894736842105263,0.05263157894736842,10-50
1390,3,1.0,0.0,0.3333333333333333,0.0,0-5
1391,2,1.0,0.0,0.5,0.0,0-5
1392,2,0.6666666666666666,0.5,1.0,1.0,0-5
1393,104,1.0,0.9904761904761905,1.0,1.0,100-500
1394,48,0.9387755102040817,1.0,0.9583333333333334,0.9583333333333334,10-50
1395,2,0.0,0.0,0.0,0.0,0-5
1396,14,1.0,1.0,1.0,1.0,10-50
1397,3,1.0,1.0,1.0,1.0,0-5
1398,3,1.0,0.0,1.0,0.0,0-5
1399,39,1.0,0.8478260869565217,1.0,1.0,10-50
1400,50,0.9803921568627451,0.9259259259259259,1.0,1.0,50-100
1401,10,0.8,0.0,0.4,0.0,10-50
1402,1,1.0,1.0,1.0,1.0,0-5
1403,1,1.0,0.0,1.0,0.0,0-5
1404,4,1.0,0.0,1.0,0.0,0-5
1405,84,1.0,0.7567567567567568,0.9880952380952381,1.0,50-100
1406,29,1.0,1.0,1.0,1.0,10-50
1407,43,0.9333333333333333,0.9545454545454546,0.9767441860465116,0.9767441860465116,10-50
1408,23,0.9565217391304348,0.9583333333333334,0.9565217391304348,1.0,10-50
1409,2,1.0,0.0,1.0,0.0,0-5
1410,27,0.9642857142857143,0.0,1.0,0.0,10-50
1411,9,1.0,0.6,1.0,1.0,5-10
1412,2,1.0,0.2857142857142857,1.0,1.0,0-5
1413,0,0.0,0.0,0.0,0.0,0-5
1414,4,1.0,0.0,1.0,0.0,0-5
1415,13,1.0,0.0,1.0,0.0,10-50
1416,52,1.0,0.8928571428571429,1.0,0.9615384615384616,50-100
1417,2,1.0,0.0,0.5,0.0,0-5
1418,41,0.9761904761904762,1.0,1.0,0.926829268292683,10-50
1419,5,1.0,0.6666666666666666,1.0,0.8,5-10
1420,6,1.0,0.0,0.6666666666666666,0.0,5-10
1421,0,0.0,0.0,0.0,0.0,0-5
1422,2,0.0,0.0,0.0,0.0,0-5
1423,3,1.0,0.0,1.0,0.0,0-5
1424,0,0.0,0.0,0.0,0.0,0-5
1425,1,0.0,0.0,0.0,0.0,0-5
1426,11,1.0,0.0,1.0,0.0,10-50
1427,89,0.9888888888888889,0.9888888888888889,1.0,1.0,50-100
1428,12,0.8571428571428571,1.0,1.0,1.0,10-50
1429,49,0.9591836734693877,0.0,0.9591836734693877,0.0,10-50
1430,9,1.0,0.0,1.0,0.0,5-10
1431,2,1.0,0.0,1.0,0.0,0-5
1432,2,1.0,0.0,1.0,0.0,0-5
1433,3,0.5,0.0,0.3333333333333333,0.0,0-5
1434,1,1.0,0.0,1.0,0.0,0-5
1435,17,0.9444444444444444,0.8095238095238095,1.0,1.0,10-50
1436,1,1.0,0.0,1.0,0.0,0-5
1437,4,1.0,0.0,1.0,0.0,0-5
1438,0,0.0,0.0,0.0,0.0,0-5
1439,12,0.9166666666666666,0.0,0.9166666666666666,0.0,10-50
1440,2,1.0,0.13333333333333333,1.0,1.0,0-5
1441,0,0.0,0.0,0.0,0.0,0-5
1442,0,0.0,0.0,0.0,0.0,0-5
1443,3,1.0,1.0,1.0,1.0,0-5
1444,4,1.0,0.18181818181818182,1.0,1.0,0-5
1445,76,1.0,1.0,1.0,1.0,50-100
1446,77,0.9871794871794872,1.0,1.0,1.0,50-100
1447,3,1.0,0.25,1.0,1.0,0-5
1448,1,1.0,0.0,1.0,0.0,0-5
1449,124,0.976,0.8145695364238411,0.9838709677419355,0.9919354838709677,100-500
1450,1,0.0,0.0,0.0,0.0,0-5
1451,5,0.8,0.21052631578947367,0.8,0.8,5-10
1452,1,0.0,0.0,0.0,0.0,0-5
1453,1,0.0,0.0,0.0,0.0,0-5
1454,1,1.0,0.0,1.0,0.0,0-5
1455,49,1.0,1.0,1.0,1.0,10-50
1456,8,1.0,0.0,0.875,0.0,5-10
1457,7,1.0,0.2413793103448276,0.8571428571428571,1.0,5-10
1458,5,1.0,1.0,1.0,1.0,5-10
1459,3,0.6,0.0,1.0,0.0,0-5
1460,4,1.0,0.0,1.0,0.0,0-5
1461,12,1.0,0.7857142857142857,1.0,0.9166666666666666,10-50
1462,9,1.0,0.0,1.0,0.0,5-10
1463,5,1.0,0.0,0.6,0.0,5-10
1464,1,0.5,0.0,1.0,0.0,0-5
1465,0,0.0,0.0,0.0,0.0,0-5
1466,0,0.0,0.0,0.0,0.0,0-5
1467,2,1.0,0.0,0.5,0.0,0-5
1468,1,1.0,0.0,1.0,0.0,0-5
1469,130,0.9923664122137404,0.9923664122137404,1.0,1.0,100-500
1470,5,1.0,0.0,1.0,0.0,5-10
1471,9,1.0,0.9,1.0,1.0,5-10
1472,6,1.0,0.0,1.0,0.0,5-10
1473,11,1.0,1.0,1.0,1.0,10-50
1474,169,1.0,0.9464285714285714,1.0,0.9408284023668639,100-500
1475,0,0.0,0.0,0.0,0.0,0-5
1476,51,0.9444444444444444,0.9622641509433962,1.0,1.0,50-100
1477,32,1.0,0.8888888888888888,1.0,1.0,10-50
1478,5,1.0,1.0,1.0,1.0,5-10
1479,3,1.0,1.0,1.0,0.6666666666666666,0-5
1480,5,1.0,1.0,1.0,0.8,5-10
1481,174,1.0,0.9613259668508287,0.9942528735632183,1.0,100-500
1482,8,1.0,1.0,1.0,1.0,5-10
1483,0,0.0,0.0,0.0,0.0,0-5
1484,2,1.0,1.0,1.0,1.0,0-5
1485,87,1.0,0.9354838709677419,1.0,1.0,50-100
1486,132,0.9705882352941176,1.0,1.0,0.9924242424242424,100-500
1487,1,1.0,0.0,1.0,0.0,0-5
1488,2,1.0,0.0,1.0,0.0,0-5
1489,4,1.0,1.0,1.0,1.0,0-5
1490,40,1.0,0.8695652173913043,1.0,1.0,10-50
1491,12,0.7857142857142857,0.875,0.9166666666666666,0.5833333333333334,10-50
1492,0,0.0,0.0,0.0,0.0,0-5
1493,57,0.9655172413793104,0.8958333333333334,0.9824561403508771,0.7543859649122807,50-100
1494,2,1.0,0.0,1.0,0.0,0-5
1495,7,0.875,0.0,1.0,0.0,5-10
1496,13,1.0,0.7647058823529411,1.0,1.0,10-50
1497,9,1.0,0.0,1.0,0.0,5-10
1498,4,1.0,0.0,0.75,0.0,0-5
1499,2,0.6666666666666666,0.2857142857142857,1.0,1.0,0-5
1500,96,0.9896907216494846,0.8495575221238938,1.0,1.0,50-100
1501,21,0.9545454545454546,0.5833333333333334,1.0,1.0,10-50
1502,3,1.0,1.0,1.0,1.0,0-5
1503,4,1.0,0.5714285714285714,1.0,1.0,0-5
1504,7,1.0,0.16279069767441862,1.0,1.0,5-10
1505,10,1.0,0.0,1.0,0.0,10-50
1506,2,1.0,0.0,0.5,0.0,0-5
1507,0,0.0,0.0,0.0,0.0,0-5
1508,11,0.8461538461538461,0.0,1.0,0.0,10-50
1509,4,1.0,0.0,1.0,0.0,0-5
1510,8,1.0,0.36363636363636365,0.875,1.0,5-10
1511,15,0.8333333333333334,0.8333333333333334,1.0,1.0,10-50
1512,29,1.0,1.0,1.0,1.0,10-50
1513,2,1.0,0.0,0.5,0.0,0-5
1514,45,0.9565217391304348,0.9361702127659575,0.9777777777777777,0.9777777777777777,10-50
1515,3,1.0,0.0,0.3333333333333333,0.0,0-5
1516,3,1.0,0.75,1.0,1.0,0-5
1517,0,0.0,0.0,0.0,0.0,0-5
1518,2,1.0,0.0,1.0,0.0,0-5
1519,10,0.8333333333333334,1.0,0.5,0.1,10-50
1520,0,0.0,0.0,0.0,0.0,0-5
1521,1,1.0,0.0,1.0,0.0,0-5
1522,1,0.3333333333333333,0.0,1.0,0.0,0-5
1523,10,0.9090909090909091,0.45,1.0,0.9,10-50
1524,162,0.9938271604938271,0.9636363636363636,0.9938271604938271,0.654320987654321,100-500
1525,40,1.0,1.0,1.0,1.0,10-50
1526,2,0.0,0.0,0.0,0.0,0-5
1527,19,1.0,1.0,1.0,1.0,10-50
1528,271,1.0,1.0,0.988929889298893,0.996309963099631,100-500
1529,22,1.0,0.3548387096774194,1.0,1.0,10-50
1530,2,1.0,0.0,1.0,0.0,0-5
1531,58,1.0,0.9830508474576272,1.0,1.0,50-100
1532,1,1.0,0.0,1.0,0.0,0-5
1533,3,1.0,0.0,0.6666666666666666,0.0,0-5
1534,7,1.0,0.28,1.0,1.0,5-10
1535,2,0.0,0.0,0.0,0.0,0-5
1536,1,0.0,0.0,0.0,0.0,0-5
1537,1,1.0,0.0,1.0,0.0,0-5
1538,3,0.6,0.42857142857142855,1.0,1.0,0-5
1539,9,1.0,0.0,0.8888888888888888,0.0,5-10
1540,31,1.0,1.0,1.0,1.0,10-50
1541,165,0.9938650306748467,0.9877300613496932,0.9818181818181818,0.9757575757575757,100-500
1542,15,1.0,0.9375,1.0,1.0,10-50
1543,0,0.0,0.0,0.0,0.0,0-5
1544,2,0.6666666666666666,0.0,1.0,0.0,0-5
1545,9,1.0,0.6923076923076923,1.0,1.0,5-10
1546,8,1.0,1.0,1.0,1.0,5-10
1547,49,1.0,1.0,1.0,1.0,10-50
1548,165,1.0,0.953757225433526,1.0,1.0,100-500
1549,56,1.0,0.875,1.0,1.0,50-100
1550,14,1.0,0.5909090909090909,1.0,0.9285714285714286,10-50
1551,1,0.5,0.058823529411764705,1.0,1.0,0-5
1552,0,0.0,0.0,0.0,0.0,0-5
1553,21,0.9545454545454546,1.0,1.0,1.0,10-50
1554,3,1.0,0.0,1.0,0.0,0-5
1555,5,0.7142857142857143,0.0,1.0,0.0,5-10
1556,4,1.0,0.0,0.5,0.0,0-5
1557,4,1.0,0.0,1.0,0.0,0-5
1558,171,1.0,0.9606741573033708,1.0,1.0,100-500
1559,9,1.0,0.9,1.0,1.0,5-10
1560,0,0.0,0.0,0.0,0.0,0-5
1561,3,1.0,0.18181818181818182,0.6666666666666666,0.6666666666666666,0-5
1562,1,1.0,1.0,1.0,1.0,0-5
1563,14,1.0,0.0,1.0,0.0,10-50
1564,21,1.0,0.4666666666666667,1.0,1.0,10-50
1565,1,1.0,0.0,1.0,0.0,0-5
1566,34,0.9714285714285714,0.918918918918919,1.0,1.0,10-50
1567,5,1.0,0.0,0.6,0.0,5-10
1568,2,0.0,0.0,0.0,0.0,0-5
1569,3,1.0,0.0,1.0,0.0,0-5
1570,68,0.9855072463768116,0.9714285714285714,1.0,1.0,50-100
1571,9,0.8571428571428571,0.0,0.6666666666666666,0.0,5-10
1572,3,1.0,0.75,1.0,1.0,0-5
1573,1,0.5,0.0,1.0,0.0,0-5
1574,1,1.0,0.0,1.0,0.0,0-5
1575,2,0.6666666666666666,0.0,1.0,0.0,0-5
1576,0,0.0,0.0,0.0,0.0,0-5
1577,3,1.0,1.0,1.0,1.0,0-5
1578,0,0.0,0.0,0.0,0.0,0-5
1579,1,1.0,1.0,1.0,1.0,0-5
1580,1,1.0,1.0,1.0,1.0,0-5
1581,1,0.0,0.0,0.0,0.0,0-5
1582,0,0.0,0.0,0.0,0.0,0-5
1583,16,0.9411764705882353,0.9411764705882353,1.0,1.0,10-50
1584,0,0.0,0.0,0.0,0.0,0-5
1585,2,0.0,0.0,0.0,0.0,0-5
1586,5,1.0,1.0,1.0,1.0,5-10
1587,200,1.0,1.0,1.0,1.0,100-500
1588,12,0.8571428571428571,0.8571428571428571,1.0,1.0,10-50
1589,5,1.0,0.7142857142857143,0.6,1.0,5-10
1590,0,0.0,0.0,0.0,0.0,0-5
1591,2,0.6666666666666666,0.0,1.0,0.0,0-5
1592,57,1.0,1.0,1.0,1.0,50-100
1593,151,1.0,0.9741935483870968,1.0,1.0,100-500
1594,3,0.6,0.0,1.0,0.0,0-5
1595,0,0.0,0.0,0.0,0.0,0-5
1596,0,0.0,0.0,0.0,0.0,0-5
1597,2,1.0,0.0,1.0,0.0,0-5
1598,10,1.0,0.4166666666666667,1.0,1.0,10-50
1599,68,0.9402985074626866,1.0,0.9264705882352942,0.8823529411764706,50-100
1600,2,1.0,0.0,1.0,0.0,0-5
1601,14,0.9333333333333333,0.6363636363636364,1.0,1.0,10-50
1602,110,1.0,1.0,1.0,1.0,100-500
1603,29,0.6774193548387096,0.2,0.7241379310344828,1.0,10-50
1604,10,1.0,1.0,1.0,1.0,10-50
1605,7,1.0,0.3333333333333333,0.7142857142857143,0.14285714285714285,5-10
